epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
91,0.00656863,0.05567515,0.10329802,0.90628725,0.05361272,0.09236094,0.91649184,0.05773759,0.11318312,0.89798608,0.05114217,0.08409342,0.93971211,0.05014448,0.07183601,0.94695911,0.05213986,0.09477865,0.93457711
92,0.00649130,0.05385865,0.10089587,0.91059506,0.05259667,0.09101072,0.91891560,0.05512064,0.10989542,0.90382652,0.04858538,0.08044378,0.94483151,0.04818425,0.07027161,0.94924413,0.04898651,0.08946678,0.94170487
93,0.00631852,0.05327725,0.10021044,0.91180567,0.05182982,0.08875621,0.92288307,0.05472468,0.11048348,0.90279449,0.04791470,0.07926706,0.94643371,0.04710107,0.06805739,0.95239231,0.04872832,0.08907706,0.94221163
94,0.00645527,0.05379442,0.09996076,0.91224462,0.05220902,0.08887263,0.92268063,0.05537983,0.10993617,0.90375519,0.04818095,0.07915961,0.94657884,0.04869369,0.06993009,0.94973628,0.04766821,0.08742007,0.94434157
95,0.00632400,0.05306366,0.09918073,0.91360884,0.05038265,0.08705280,0.92581473,0.05574467,0.10997929,0.90367967,0.04896034,0.07966231,0.94589817,0.04864329,0.07048642,0.94893335,0.04927740,0.08788534,0.94374754
96,0.00626674,0.05160548,0.09803845,0.91558735,0.05128631,0.08927937,0.92197129,0.05192464,0.10607671,0.91039417,0.04756769,0.08040346,0.94488680,0.04822516,0.07093687,0.94827857,0.04691023,0.08886729,0.94248350
97,0.00625898,0.05281159,0.09922549,0.91353084,0.05154424,0.08924201,0.92203657,0.05407894,0.10829248,0.90661164,0.04720870,0.07744430,0.94886891,0.04765395,0.06964681,0.95014268,0.04676344,0.08452551,0.94796636
98,0.00616561,0.05268277,0.09892675,0.91405072,0.05022328,0.08632009,0.92705829,0.05514226,0.11009926,0.90346941,0.04801161,0.07852168,0.94743638,0.04775774,0.06901666,0.95104080,0.04826547,0.08699431,0.94488239
99,0.00607409,0.05317434,0.10035597,0.91154932,0.05234830,0.08979011,0.92107597,0.05400038,0.10991078,0.90379964,0.04765781,0.07924959,0.94645731,0.04884249,0.07084305,0.94841530,0.04647313,0.08684617,0.94506995
100,0.00597957,0.05203174,0.09847818,0.91482841,0.04984467,0.08638956,0.92694082,0.05421881,0.10923712,0.90497528,0.04705169,0.07725066,0.94912428,0.04665715,0.06766219,0.95294362,0.04744623,0.08577388,0.94641802
101,0.00595128,0.05138251,0.09750419,0.91650485,0.04920816,0.08487273,0.92948385,0.05355685,0.10867728,0.90594678,0.04626541,0.07602269,0.95072887,0.04608156,0.06757618,0.95306317,0.04644925,0.08362032,0.94907485
102,0.00593143,0.05202810,0.09837513,0.91500658,0.05032088,0.08677608,0.92628561,0.05373531,0.10874394,0.90583137,0.04570809,0.07466797,0.95246923,0.04584393,0.06692919,0.95395764,0.04557224,0.08167678,0.95141459
103,0.00587003,0.05180259,0.09751681,0.91648324,0.04941489,0.08577825,0.92797114,0.05419029,0.10798679,0.90713812,0.04787623,0.07730000,0.94905928,0.04803535,0.07009222,0.94950294,0.04771710,0.08389076,0.94874492
104,0.00582833,0.05238080,0.09968291,0.91273177,0.04897411,0.08469947,0.92977146,0.05578748,0.11269146,0.89887042,0.04610965,0.07385389,0.95350000,0.04598437,0.06726805,0.95349023,0.04623494,0.07989871,0.95350693
